product_id,product_name,product_group,product_brand,category_id,supplier_id
7864,Dairy Fetta Basil Pesto,Feta cheese,Riverina,10,4
7865,Cheese Persian Fetta Dill & Chive,Feta cheese,Yarra Valley,10,4
7866,Saganaki,Feta cheese,Dodoni,10,4
7867,Marinated Cows Fetta,Feta cheese,Blue Bay,10,4
7868,Fetta Traditional,Feta cheese,Lemnos,10,4
7869,Fetta Persian Dill & Garlic,Feta cheese,MCC,10,4
7870,Small Variety Cheese Pack,Feta cheese,Natural & Kosher,10,4
7871,Fetta Persian,Feta cheese,QFW,10,4
7872,Fetta Garlic & Herbs,Feta cheese,QFW,10,4
7873,Labne Traditional,Feta cheese,QFW,10,4
7874,Goats Cheese Chevre,Specialty & entertaining cheese,Meredith,10,4
7875,Honey & Pistachio Cream Cheese,Specialty & entertaining cheese,Moondarra,10,4
7876,Cheese Apricot & Almond,Specialty & entertaining cheese,Coles,10,4
7877,French Goat's Cheese,Specialty & entertaining cheese,Coles,10,4
7878,Cheese Spring Onion & Chive,Specialty & entertaining cheese,Coles,10,4
7879,Cream Cheese Apricot Almond,Specialty & entertaining cheese,South Cape,10,4
7880,Cream Cheese Sweet Chilli,Specialty & entertaining cheese,South Cape,10,4
7881,Dairy Marinated Goats Cheese,Specialty & entertaining cheese,Meredith,10,4
7882,Sweet Chilli Cheese,Specialty & entertaining cheese,Coles,10,4
7883,Apricot & Almond Cream Cheese,Specialty & entertaining cheese,South Cape,10,4
7884,Dairy Marinated Goats Cheese,Specialty & entertaining cheese,Meredith,10,4
7885,Spring Onion & Chive Cream Cheese,Specialty & entertaining cheese,South Cape,10,4
7886,Wensleydale With Cranberry PGI,Specialty & entertaining cheese,Coles Finest,10,4
7887,Dairy Goats Cheese Chevre Dill,Specialty & entertaining cheese,Meredith,10,4
7888,Cheese Honey Fig & Macadamia,Specialty & entertaining cheese,Moondarra,10,4
7889,Cheese Fresh Goats Cheese,Specialty & entertaining cheese,Yarra Valley,10,4
7890,Goats Cheese Block,Specialty & entertaining cheese,Caldermeade Farm,10,4
7891,Cheese Tropical Frut & Almond,Specialty & entertaining cheese,Moondarra,10,4
7892,Goats Cheese 4 Peppercorn Mix,Specialty & entertaining cheese,Caldermeade Farm,10,4
7893,Cheese Herb & Capsicum,Specialty & entertaining cheese,Moondarra,10,4
7894,Medium Lemons,Lemons & limes,Coles,6,2
7895,Limes Medium Loose,Lemons & limes,Coles,6,2
7896,Medium Lemons Prepacked,Lemons & limes,Coles,6,2
7897,I'm Perfect Lemons Prepacked,Lemons & limes,Coles,6,2
7898,Limes,Lemons & limes,Coles,6,2
7899,I'mperfect Limes,Lemons & limes,Coles,6,2
7900,Kensington Pride Mangoes,Mangoes,Coles,6,2
7901,R2E2 Mangoes,Mangoes,Coles,6,2
7902,Kensington Pride Mangoes Prepacked,Mangoes,Coles,6,2
